provincias,aglomerados,2 semestre 2016,3 semestre 2016,4 semestre 2016,1 semestre 2017,2 semestre 2017,3 semestre 2017,4 semestre2017,1 semestre 2018,2 semestre 2018,3 semestre 2018,4 semestre 2018,1 semestre 2019,2 semestre 2019,3 semestre 2019,4 semestre 2019,1 semestre 2020,2 semestre  2020 ,3 semestre 2020 ,4 semestre 2020 
CABA,Ciudad Autónoma de Buenos Aires (1),56.1,55.7,54.6,55.8,55.1,53.9,53.8,54.4,54.3,53.8,53.7,55.6,57.4,56.9,55.9,56.9,46.7,47.9,51.4
BUENOS AIRES,Partidos del Gran Buenos Aires (1) ,45.6,46,45.1,45.6,44.9,46.6,46.4,46.6,46.5,46.8,46.3,47,47.7,46,46.9,46.6,35.4,39.8,43.4
MENDOZA,Gran Mendoza  (1) ,43.9,46.1,45.4,42.6,42.1,44.4,44.6,45.2,43.8,47.1,47.2,46.6,47.1,48.1,49,50.5,44.3,46.8,49.5
SAN JUAN,Gran San Juan  (1),41.2,37,33.6,38.3,41.5,40.1,42.8,40,39.6,38.8,40.1,41,39.6,41.4,43.4,41.9,36.5,41.2,44.1
SAN LUIS,Gran San Luis (2) (3),40.2,40.5,39.6,38.3,40.4,38.4,40.1,43.7,45.5,44.2,43.3,45.1,44.1,46.3,46,45.2,38.9,42.1,44.8
CORRIENTES,Corrientes (2),42.4,43.8,43.7,41.7,42.5,42.1,42.2,43.6,43.1,41.1,42.4,42.8,42.2,42,42.4,41.3,35.2,40.3,40.1
FORMOSA,Formosa  (2),34.1,33,29.9,31.8,33.2,33,34.7,33.4,33.1,33.6,36.1,35,35.3,33.1,34.3,35.4,30.1,30.4,32.1
CHACO,Gran Resistencia  (2) (4),39.2,39.4,37,35.1,38.2,39.7,38.1,41.6,41.5,40.3,37.9,34.1,35.3,35.3,43.7,46.5,38.7,41.4,42.3
MISIONES,Posadas  (2),44.5,43.5,42,40.7,42,45.8,45.2,45.3,45.5,44.4,44.4,44.2,43.9,44.9,43.3,43.2,42,43.8,46
CATAMARCA,Gran Catamarca (2),47.4,43.2,42.6,46.4,46.9,44.7,44.9,46.4,44.5,43,45.5,45.1,42.4,43.4,45.6,44.6,38.7,40.4,43.2
TUCUMAN,Gran Tucumán-Tafí Viejo (1),44,44,44.5,42,43.1,44.2,45.4,43.3,44.3,43.8,44.5,44.3,46,47.8,45.2,44.5,34.6,39.3,43.3
JUJUY,Jujuy-Palpalá (2),42.3,41.7,41.6,44,47,46.7,44.3,41.4,44.6,43.2,45.3,46.1,47.2,44.9,46.7,45.9,39.9,40.5,43.1
LA RIOJA,La Rioja (2),41.7,42.3,41,42.5,42.4,40.5,42,42.4,41.3,42.1,43,45.4,44.7,42.5,42,41.6,39.2,41.8,41.4
SALTA,Salta (1),41.9,41.7,42.2,46.1,45.3,46.1,47.4,46.8,45.6,47.2,47.8,45.7,47.6,48,47.6,47.7,39,44.9,44.8
SANTIAGO DEL ESTERO,Santiago del Estero-La Banda (2),37.6,38.9,36.4,34.9,38.3,41.4,43.1,39.5,38.7,38,44,42.4,41.7,43.5,41.1,41,33.2,41.1,41.1
BUENOS AIRES,Bahía Blanca-Cerri (2),45.2,44.9,46.7,46.2,44.7,44,47.8,49.7,46.3,44.1,45.8,48.6,48.4,44.4,45.4,47,37.6,42.7,48.1
ENTRE RIOS,Concordia (2),39.5,40,39.9,39.6,39.6,40,41.3,40.9,38.5,41.8,43.8,39.9,39.1,40.3,41.8,40.4,38.1,39.9,39.7
CORDOBA,Gran Córdoba (1),47.4,47.3,44.6,45.3,45.6,46.4,45.1,48.3,48.3,49.8,48.1,48,48.7,49.9,46.8,46.9,43.4,49.7,47.9
BUENOS AIRES,Gran La Plata  (1),45.8,45,45.2,45.4,46.1,46.3,47.7,44.8,44,48.9,46.4,48.4,49.4,49.6,47,44.5,39.1,42.8,48
SANTA FE,Gran Rosario  (1),47.9,47.4,48.7,47.8,48.2,46.5,46.4,48.7,47.5,47.5,46.6,47.3,47.6,46.3,46.2,48.2,43,46.5,46.7
ENTRE RIOS,Gran Paraná (2),43.6,44.3,44.3,43.5,44.6,46.2,45.2,45.3,43.6,42.8,41.8,42,46.8,45.2,44.1,44.3,37.6,43.4,41.4
SANTA FE,Gran Santa Fe (1),41.4,40.5,43.6,41.8,41.8,42.6,42,43.3,41.1,40.7,42.2,41,41.3,42.2,43.7,42.8,38.2,43.9,44.9
BUENOS AIRES,Mar del Plata (1) (3),45.6,45.1,47.1,45.9,45.4,46.2,48.6,51,47,48.6,48.7,50.2,49.1,50.6,50.4,48.8,38.8,41.7,47.8
CORDOBA,Río Cuarto (2),45.9,45,48,44.3,45.4,48.1,49,46.3,45.8,45.8,46.9,47.6,47.8,45.7,46.6,47.5,44.5,45.8,46.3
LA PAMPA,Santa Rosa - Toay (2),40.6,41.7,41.3,42.5,40.5,40.2,41.3,43.2,41.6,44.1,41.9,44.5,45.4,46.9,43.9,44.7,35.7,43.4,45.6
BUENOS AIRES,San Nicolás-Villa Constitución (2),39.9,40.4,43.5,42.3,39.9,41.9,45.4,42.8,43.9,45,45.6,43.3,42.4,43.5,44.7,43.4,31.8,38.1,41.1
