Provincia,Habitantes (2010),Densidad poblacional: Hab/km² (2010),Tasa promocion efectiva secundaria (2017),Mortalidad infantil promedio 2016-2019,Homicidios dolosos C/ 100.000 hab. (2016-2019),Muertes en Accidentes Viales C/ 100.000  hab.  (2016-2019),Robos (no agravados) C/ 100.000 hab. (2016-2019),Robos agravados C/ 100.000 hab. (2016-2019),Violaciones  C/ 100.000 hab. (2016-2019),Exportaciones per-cápita en USD (2016-2019),Demanda de MwH energía elec. Per cápita (2016),Pobreza Promedio (2017-2019),Tasa actividad Promedio (2017-2019),Empresas  C/ 100.000 hab. (2016-2017),Remuneracion  real de trabajadores reg. (priv.) (2016-2019),Porcentaje de empleados en sector primario(2016-2019),Porcentaje de empleados en sector terciario (2016-2019),Porcentaje de empleados en sector secundario (2016-2019),Porcentaje de percepción de Recursos de Origen Nacional (2016-2019),Porcentaje de percepción de Recursos de Origen Provincial  (2016-2019),NOA,NEA,CUYO,CENTRO,PATAGONIA
Ciudad Autónoma de Buenos Aires,2890151,14450.8,83.3,6.8,4.4,4.4,2362.8,7.2,8.5,112.5,4.6,13,55.1,4330.88098165113,22439.7233592136,0.01105437678525,0.868602469391369,0.120343153823381,0.049822067667122,0.223816345636672,0,0,0,1,0
Buenos Aires,15625084,50.8,80.8,9.4,6.3,6.6,639.1,8.3,9,1312.9,2.1,28.4,46.3,1209.7598963308,18644.5317517126,0.041807556136226,0.710877152953767,0.247315290910007,0.201430297309582,0.366858413729704,0,0,0,1,0
Catamarca,367828,3.6,82.5,9.6,3,20,1537.2,0,4.4,1382,5.1,33.1,44.9,809.073806235523,15116.9523234475,0.107659808305691,0.703393475066599,0.188946716627709,0.02488312511637,0.004332074767672,1,0,0,0,0
Chaco,1055259,10.6,75.7,10.7,5.9,14.9,563.3,0,7.7,366.4,2.1,38.2,38.4,838.182853688052,14208.1222594324,0.095465201002312,0.802776753586513,0.101758045411174,0.046692683249555,0.011648053796858,0,1,0,0,0
Chubut,509108,2.3,81,8,9.6,8.2,864.8,21,29.4,4968.2,7.1,26,43,1735.97743504325,30099.0549035754,0.200775452879964,0.67567859806573,0.123545949054306,0.015164831568798,0.013630342689632,0,0,0,0,1
Córdoba,3308876,20,83.4,8.5,3.5,10.9,1878.3,10.7,6,2522.4,2.5,31.5,47.1,1775.46695615067,16670.893148174,0.060502426422515,0.738197578122513,0.201299995454972,0.086441999581033,0.072752154956794,0,0,0,1,0
Corrientes,992595,11.3,80.6,13,2.9,8.5,559.2,2.4,8.8,217.6,1.7,40.4,42.3,855.736730489273,13881.0159245159,0.163423356359939,0.691888251905293,0.144688391734767,0.035400868374043,0.008559399120654,0,1,0,0,0
Entre Ríos,1235994,15.7,77.4,9.4,4.8,12.3,633.4,4.7,5.2,1046.9,2.6,34.8,42.4,1335.3624693971,14973.0633894315,0.144768624585026,0.654687467824058,0.200543907590915,0.04509288083156,0.025027166586935,0,0,0,1,0
Formosa,530162,7.4,78.6,14.1,7.2,17.3,618.6,0.5,15.5,94.9,2,32,33.9,493.811325594818,15021.9838994591,0.076436554340969,0.854692163564293,0.068871282094738,0.033718355345847,0.003710612967795,0,1,0,0,0
Jujuy,673307,12.7,76.5,10.4,3.3,10.8,1041.3,22.1,21.9,759.5,1.5,30.6,45.1,735.325787493669,15067.9232365142,0.198496941742705,0.607366890604633,0.194136167652662,0.026405677517803,0.006176487143825,1,0,0,0,0
